-753;Fondation de Rome;
-509;Fondation de la république;
-479;Début de l’époque classique et apogée d’Athènes;
-334;Début de l’expédition d’Alexandre le Grand;
-300;Début des conquêtes romaines;
-168;Début de la conquête romaine;
-52;Guerre des Gaules et victoire romaine à Alésia;
-27;Début de l’Empire et fin des conquêtes romaines;
64;Incendie de Rome;Début des persécutions contre les chrétiens;
313;Edit de Constantin autorisant la religion chrétienne;
392;Edit de Théodose autorisant seulement la religion chrétienne dans l’Empire romain;
395;Partage de l’Empire (Empire romain d’occident et Empire romain d’orient);
410;Prise de Rome par les Goths;
476;Chute de l’Empire romain d’occident;Fin de l’Antiquité;
